text,size
forget,556
matter,352
thinking,352
stand,352
dadt,352
luck,352
ballot,345
president,330
obama,330
pic,310
twitter,310
points,270
today,255
#obama,252
romney,236
#voteobama,225
lose,222
retweet,219
#teamobama,203
barackobama,197
#romneyryan,187
tmr,182
left,170
voted,161
#election,160
vote,160
posted,158
child,157
college,157
good,152
donate,122
#tcot,117
win,107
tonight,107
loses,100
voting,99
wins,98
mr,97
#romney,94
bq,92
building,88
boat,88
case,88
mittromney,88
real,80
afford,80
africa,76
ohio,76
years,69
started,69
election,65
qwslrd,55
mitt,51
won,51
de,47
cute,46
tapcvuml,46
drulzsnp,46
goo,42
lol,41
salary,41
charity,41
amen,40
wb,40
bit,38
make,38
machines,37
special,36
give,36
great,36
choose,36
#vote,36
ly,35
change,35
warfare,34
spiritual,34
felt,34
like,33
trending,32
day,31
back,31
polls,31
america,30
country,30
supporters,30
counter,30
fuck,30
forces,30
china,29
#voted,28
#benghazi,28
en,28
politico,27
future,26
instagr,26
seals,26
panther,26
literallyfedup,26
difference,26
black,26
presence,26
navy,26
#p,24
gl,24
#green,23
digd,23
worden,23
maal,23
tweet,23
yhsls,23
naar,23
song,23
prejudice,23
ofa,23
doorverwezen,23
busy,23
working,23
vraagt,23
ons,23
sarcasm,23
rules,23
graag,23
nos,23
tips,23
babeeeeee,23
praying,23
babies,23
theme,23
#,22
bring,22
gop,22
repubgrlprobs,22
head,22
people,22
watch,22
dlfqr,22
lezlie,22
jobs,21
brighter,21
#myvote,21
#gop,21
#shady,21
#truth,21
#guesswho,21
#veteransforromney,21
#noexcuses,21
#electionday,21
#libya,21
#latinosforromney,21
bush,20
