text,size
vote,141
election,79
#romneyryan,56
work,56
ofa,55
day,52
twitter,49
#obama,47
polling,43
pic,43
voting,43
bring,37
friend,37
qhtrn,37
confirm,37
place,37
#election,36
barackobama,35
paided,29
plan,29
obama,27
teenagers,26
watch,26
debate,26
happy,25
president,25
today,23
#romney,17
bo,15
romney,15
#loveofcountry,13
#notfair,13
#voteobama,13
#firedup,13
final,12
million,12
followers,12
walking,12
wall,12
qq,12
nqhfd,12
voted,11
elect,11
makes,11
people,11
campaign,11
romneys,11
years,11
otsmqi,11
mittromney,11
part,11
make,11
hope,9
mitt,9
word,9
friends,9
line,9
ready,9
#yourvote,8
#nra,8
#israel,8
#spikelee,8
#yelp,8
#govote,8
#forward,8
#palpatinevader,8
#msnbc,8
#hiv,8
#nokidhungry,8
#ifobamawins,8
#cbs,8
#tcot,8
#aids,8
#ohio,8
#followtrain,8
#rva,8
#uselections,8
obamas,7
brandonlacycamp,5
idol,5
janna,5
ausgez,5
congratulating,5
eqolmsoq,5
state,5
automatisch,5
rally,5
lightning,5
wins,5
bible,5
rmdy,5
opponents,5
impact,5
lange,5
touchscreen,5
booth,5
letter,5
youtu,5
prove,5
pop,5
supports,5
term,5
bluffing,5
winners,5
broken,5
black,5
stay,5
blue,5
paul,5
story,5
die,5
ryan,5
isn,5
blessings,5
ohio,5
red,5
white,5
wow,5
inching,5
count,5
matin,5
wird,5
folks,5
back,5
video,5
life,5
havingtroublevoting,5
trouble,5
lines,5
moreyears,5
center,5
victory,5
tweet,5
message,5
michael,5
gooo,5
tweeting,5
told,5
issues,5
spotted,5
review,5
fired,5
issue,5
stimmen,5
nutter,5
deff,5
wycliffite,5
favorite,5
alive,5
ain,5
