text,size
state,1821
people,1618
governed,1173
nation,1164
twitter,809
losing,741
ballot,660
pic,652
retweet,633
lose,623
points,548
posted,380
romney,326
massachusetts,309
vmt,280
vgdy,280
vote,163
#election,97
#romney,70
#obama,70
#teamobama,65
#voteobama,54
#romneyryan,48
obama,48
bring,48
tthokcyn,48
wins,47
brain,42
heart,42
barackobama,41
line,36
today,35
voted,30
#voted,28
day,27
mitt,26
election,22
president,22
freedom,21
#myvote,20
#forward,20
#guesswho,20
new,20
#retweet,20
favorite,20
babies,20
hope,17
yhsls,17
older,17
mittromney,17
jag,16
sweet,16
making,16
bikes,16
real,16
counts,14
gsekcgk,14
insane,14
talk,14
shade,14
sane,14
parties,14
special,14
america,14
give,14
field,14
spot,14
lol,14
cotton,14
men,14
wit,14
black,12
country,12
years,12
tonight,12
instagr,12
wknd,12
rsehjujsim,12
win,12
#illuminati,12
#missionaccomplished,12
#onepissedoffamerican,12
#ifobamadontwin,12
#writein,12
#itsallgood,12
#swivel,12
#royalty,12
#usaval,12
#tcot,12
#justridebikes,12
#inforgraphic,12
#future,12
stood,10
call,10
da,10
tt,10
lezlie,10
niggas,10
damn,10
hun,10
iphone,10
driven,10
jordans,10
like,10
walmart,7
marry,7
istooklive,7
vart,7
ptrtvoic,7
rehearsal,7
excited,7
wrongly,7
stop,7
offering,7
religious,7
cut,7
takeover,7
students,7
rape,7
attack,7
livstid,7
kitchen,7
hand,7
stopped,7
jobs,7
favors,7
riot,7
rogertthatt,7
started,7
weeping,7
stay,7
religion,7
watch,7
acceptable,7
november,7
isn,7
gop,7
lie,7
kung,7
tin,7
warning,7
laugh,7
budget,7
iti,7
realize,7
doesn,7
att,7
check,7
girl,7
article,7
