text,size
vote,26
twitter,22
pic,22
line,21
obama,16
#obama,14
#forward,11
rbnwla,10
elections,10
patience,10
stay,10
tonight,10
miami,10
dade,10
folks,10
clear,10
wins,10
election,8
president,8
romney,7
granted,7
laws,7
ladies,7
barackobama,7
bodies,7
dudes,7
rights,7
control,7
#annoyed,7
#prochoice,7
#deuces,7
#abortion,7
#voteordie,7
#teamobama,7
#biden,7
#notaboveabribe,7
#prolife,7
voting,5
#,5
fact,5
mittromney,5
black,5
pell,3
called,3
bring,3
hope,3
troops,3
america,3
number,3
moving,3
passionately,3
iraq,3
million,3
recipients,3
viral,3
gays,3
doubled,3
students,3
summer,3
marine,3
tragic,3
jillstanek,3
funding,3
set,3
decision,3
advocates,3
gonna,3
team,3
ppl,3
tells,3
rqnv,3
mexico,3
face,3
vsxag,3
increasing,3
yrs,3
hanging,3
country,3
promise,3
leave,3
like,3
instagr,3
pro,3
christmas,3
important,3
person,3
guys,3
columbus,3
video,3
life,3
poors,3
punched,3
scma,3
backstage,3
compliment,3
win,3
grants,3
pretty,3
war,3
unscripted,3
home,3
wpbwd,3
presents,3
