text,size
goo,193
wins,165
vote,123
friends,91
vxikz,88
stirringtrouble,88
barackobama,88
today,77
#obama,69
twitter,63
obama,63
romney,61
rights,60
married,60
deserve,60
love,59
#romneyryan,59
#election,59
identified,57
activist,57
ballot,56
#uspresidentialelection,55
#today,55
#washington,55
#mittromney,55
#ivoted,47
breaking,45
pic,43
#equality,40
#forward,33
#voteobama,33
#vote,33
wing,33
suspect,33
tampering,33
woman,33
voted,32
hope,30
#tcot,29
dear,29
nov,28
gl,28
world,27
fuck,25
babies,23
utm,23
election,23
mittromney,22
#nonegativityzone,21
america,21
retweet,21
day,21
instagr,21
losing,19
state,19
perfectly,19
people,19
sincerely,19
country,19
respectfully,19
republican,19
wyydda,19
insult,19
governed,19
grckh,19
reelected,19
make,18
like,17
voting,17
president,17
disagree,16
#loveofcountry,15
#govote,15
#sherrodbrown,15
#teamobama,15
#obamavsromney,15
#ohsen,15
#romney,15
blueoregon,13
set,13
donate,13
years,13
mend,13
avaaz,13
bruised,13
history,13
hour,13
horse,12
sherrod,12
luke,12
brown,12
katyperry,12
back,12
moreyears,12
location,12
dumbass,12
sunday,12
jesus,12
defeat,12
monday,12
travel,12
bryan,12
brooo,12
market,12
social,12
bu,10
massachusetts,10
made,10
mitt,10
choice,10
#louisvil,9
#design,9
#cantafford,9
#vaforobama,9
#elxn,9
#ctvelection,9
#typography,9
#votewhite,9
#winning,9
#hawaiisenaterace,9
#please,9
#presidentialelection,9
#kentucky,9
#rs,9
#,8
farmers,8
states,8
church,8
find,8
media,8
tuesday,8
cvtl,6
salary,6
nig,6
handy,6
mountain,6
dicaprio,6
english,6
sta,6
august,6
toss,6
badge,6
rdsh,6
stop,6
octavianasr,6
haaaaa,6
comeback,6
posted,6
gray,6
shout,6
