text,size
people,201
restoration,96
vote,90
mitt,77
entered,70
losing,65
massachusetts,65
state,53
governed,53
voting,42
remembered,38
world,38
mittromney,38
vagina,38
#obama,37
#romneyryan,34
#forward,34
government,33
god,33
#tcot,33
romney,32
#lnyhbt,31
#prayforromney,31
#teaparty,31
dear,24
faith,24
years,19
americans,17
real,17
utxker,17
nov,17
deserve,17
#romney,13
summarizing,12
chose,12
live,12
recovery,11
president,11
black,10
tt,8
mi,8
#bobbyjindal,8
#dontberacist,8
#barack,8
#keepitreal,8
#smh,8
#election,8
#votedtodayalreadu,8
like,8
#sorrynotsorry,8
#cnnelections,8
#lsu,8
#blacks,8
obama,7
lolgop,5
bring,5
edshow,5
daynesherman,5
twitter,5
gtb,5
agfbuk,5
struggle,5
lives,5
andreperrynola,5
senior,5
barackobama,5
davidaxelrod,5
lot,5
advisor,5
bobby,5
hopes,5
man,5
stand,5
failures,5
retweet,5
duped,5
bvpc,5
supporter,5
thedemocrats,5
watch,5
debates,5
heads,5
die,5
abortion,5
political,5
pic,5
good,5
research,5
amazing,5
wasn,5
defendpaulryan,5
instagr,5
stephanigale,5
forget,5
person,5
presidential,5
parents,5
whomever,5
blind,5
passionate,5
back,5
video,5
point,5
admit,5
legendary,5
supporting,5
hard,5
brainwashed,5
dianeravitch,5
speeches,5
daddy,5
rweingarten,5
jindal,5
simply,5
ac,4
blogspot,4
rq,4
straight,4
perfect,4
high,4
day,4
check,4
op,4
pm,4
