text,size
election,62
voters,55
ofa,55
confirm,55
fwxqrc,42
voting,38
florida,36
obama,23
location,22
decide,20
vote,15
#obama,12
make,10
#romneyryan,9
america,6
bo,6
#statistics,6
#vote,6
#forward,6
#america,6
#romney,6
#election,6
romney,5
bad,4
declare,4
canadian,4
american,4
pic,4
tweets,4
enjoying,4
twitter,4
terms,4
group,4
everybodys,4
obsessed,4
excited,4
made,4
mccain,4
barackobama,4
notch,4
page,4
favorite,4
slurpee,4
precincts,4
ride,4
candidate,4
cups,4
mmcleieer,4
sweetdreams,4
retweet,4
gonna,4
black,4
rvyef,4
repubgrlprobs,4
colorado,4
glad,4
combined,4
choice,4
kathyannbryant,4
heidilmartin,4
president,4
hupq,4
peggiarnold,3
lv,3
hope,3
neighbors,3
#,3
friends,3
surferdi,3
harts,3
dixville,3
polls,3
ha,3
carpool,3
