text,size
obama,20
vote,11
election,8
make,8
#obama,4
location,4
romney,4
america,4
#statistics,4
#vote,4
#america,4
#romneyryan,4
#romney,4
#election,4
voters,3
voting,3
decide,3
enjoying,3
twitter,3
neighbors,3
group,3
friends,3
mccain,3
favorite,3
polls,3
precincts,3
ride,3
gonna,3
ofa,3
rvyef,3
colorado,3
confirm,3
carpool,3
hupq,3
declare,2
bad,2
canadian,2
lv,2
american,2
pic,2
obsessed,2
made,2
notch,2
harts,2
slurpee,2
dixville,2
bo,2
candidate,2
cups,2
retweet,2
repubgrlprobs,2
ha,2
combined,2
choice,2
