text,size
pic,1412
twitter,1404
day,471
babies,447
spoken,423
america,396
wtpzbn,377
mittromney,355
#obama,299
#election,299
romney,264
obama,260
election,259
vote,253
voting,232
today,196
#tcot,195
#romneyryan,187
barackobama,160
make,154
president,150
coal,144
wins,136
#forward,133
years,126
tweets,121
#teamobama,121
strong,117
push,116
rip,110
#romney,104
anndromney,100
mitt,100
pleasure,100
vows,99
voted,98
instagr,95
#vote,95
ohio,93
love,92
campaign,81
good,78
donate,75
huff,71
presidential,70
delphi,64
big,63
ofa,63
line,63
page,61
utxker,61
turnout,61
care,58
saudis,58
friends,58
opec,58
racist,58
photo,56
american,56
tonight,54
barack,54
country,54
bit,51
#ivoted,51
#voteobama,51
black,50
ly,50
rights,50
buswk,49
stations,49
srt,49
women,49
retweet,47
ballot,47
workers,47
moraine,47
#,45
bows,45
voters,45
#flakeforsenate,44
#azsen,44
real,43
salary,43
goo,43
guy,43
counting,43
polls,43
sehb,43
close,43
health,43
#p,42
race,42
pennsylvania,42
va,41
isn,40
family,40
back,40
gop,38
laden,37
charity,37
season,37
equality,37
marriage,37
jobs,37
ballots,37
granddaddy,37
#electionday,37
flake,37
xtezawxk,37
jeff,37
dem,36
win,36
people,36
kids,35
srhxk,35
switches,35
abcn,35
redyys,35
great,34
voc,32
loveu,32
hours,32
jennylyn,32
tv,32
like,32
sticker,31
xqfxh,31
#yeswecan,30
#tlot,30
update,28
ganar,27
douchebag,27
results,27
voter,27
break,27
machine,27
work,27
gotv,27
video,27
ktok,27
phones,27
winner,25
cash,25
bo,25
gl,25
mi,25
tt,25
alert,25
texas,24
vry,24
