text,size
world,71
mittromney,71
entered,71
voting,71
vagina,71
remembered,63
vote,14
#obama,13
#romneyryan,11
obama,11
years,10
summarizing,10
trash,10
chose,10
live,10
#romney,9
romney,7
president,7
#va,6
#tcot,6
#nh,6
#bobbyjindal,6
#ohio,6
#pa,6
#smh,6
#election,6
#hispano,6
like,6
#co,6
#lsu,6
#blacks,6
election,5
lolgop,4
edshow,4
curb,4
hope,4
bit,4
daynesherman,4
america,4
twitter,4
gtb,4
pick,4
hurricane,4
xjef,4
andreperrynola,4
senior,4
barackobama,4
viral,4
blogspot,4
davidaxelrod,4
advisor,4
bobby,4
failures,4
retweet,4
duped,4
bvpc,4
supporter,4
people,4
straight,4
thedemocrats,4
watch,4
debates,4
heads,4
die,4
tonight,4
ryan,4
abortion,4
pic,4
christians,4
presidential,4
needed,4
admit,4
supporting,4
hard,4
make,4
win,4
brainwashed,4
dianeravitch,4
sandy,4
rweingarten,4
jindal,4
simply,4
bring,3
ac,3
lot,3
man,3
black,3
ly,3
research,3
amazing,3
parents,3
whomever,3
back,3
legendary,3
op,3
speeches,3
pm,3
