text,size
election,20
vote,15
granted,13
laws,13
barackobama,13
bodies,13
dudes,13
rights,13
control,13
#obama,6
obama,5
#notaboveabribe,5
#forward,5
#prochoice,5
#deuces,5
#abortion,5
#voteordie,5
#teamobama,5
#biden,5
#prolife,5
ladies,4
country,3
voting,3
moving,3
wins,3
passionately,3
pro,3
christmas,3
viral,3
video,3
life,3
scma,3
jillstanek,3
set,3
advocates,3
gonna,3
mittromney,3
ppl,3
unscripted,3
mexico,3
presents,3
romney,2
hope,2
like,2
instagr,2
important,2
summer,2
team,2
rqnv,2
wpbwd,2
yrs,2
