text,size
vote,29
qnyv,19
ofa,19
confirm,12
ytyij,7
sont,7
leilabekhti,7
nousyork,7
geraldinenakach,7
manupayetoff,7
naderboussandel,7
yfrog,7
back,7
baptistelecapl,7
#voteobama,6
america,6
tous,5
#obama,4
#romneyryan,4
bo,3
buy,3
gop,3
pic,3
twitter,3
frm,3
friends,3
deep,3
mil,3
pockets,3
today,3
jillstanek,3
supporters,3
greatest,3
mittromney,3
cnjnrqe,3
indies,3
republicangop,3
earth,3
appealing,3
ils,3
kg,3
nation,2
hr,2
mon,2
making,2
ad,2
toddakin,2
remind,2
world,2
win,2
election,2
pushing,2
family,2
