text,size
vote,125429
barackobama,65654
obama,44187
president,31203
romney,15700
twitter,15138
pic,14145
#obama,12400
#election,10558
america,10500
polls,9280
voted,6913
line,6611
#romneyryan,6536
election,6224
make,6192
stay,6130
close,5766
#romney,5693
mittromney,4810
people,4541
years,3464
#tcot,3436
#vote,3426
#voteobama,3424
wins,3108
instagr,2780
results,2660
voting,2616
#electionday,2599
today,2545
give,2477
difference,2307
exit,2221
#forward,2171
win,2142
tonight,2073
bit,2065
qnsew,2045
#usa,2038
#teamobama,1916
white,1822
hope,1819
ly,1797
bush,1773
destroy,1762
rebuild,1737
victory,1721
powerful,1718
man,1673
college,1640
good,1639
lot,1621
state,1550
#ivoted,1488
day,1454
ohio,1424
live,1408
#gop,1407
pour,1384
watch,1353
poll,1342
#,1339
watching,1315
gave,1303
mitt,1280
like,1278
woman,1257
country,1225
presidential,1203
speech,1179
black,1170
love,1161
votes,1134
american,1124
states,1112
luck,1101
de,1097
#teaparty,1081
gonna,1080
#stayinline,1065
coverage,1063
ready,1060
hour,1055
fuck,998
#retweet,970
back,969
#ohio,929
seq,929
god,911
won,877
barack,840
cnn,829
minutes,823
kentucky,822
find,819
en,816
qfn,815
house,806
sywxck,796
body,796
republican,793
party,792
ogs,790
nervous,772
virginia,764
lol,762
voters,760
feel,757
voter,751
world,738
word,732
democrats,725
closing,724
wake,716
left,714
#tlot,707
place,707
work,703
la,691
wait,688
ws,676
retweet,674
bbc,655
moreyears,644
pm,642
indiana,632
huff,631
due,630
lose,616
campaign,615
matter,611
apne,608
run,604
great,603
canada,601
#mitt,598
usa,593
polling,590
gop,588
elections,587
#america,580
turnout,578
easy,573
#obamabiden,572
#voted,570
ofa,569
losing,565
rolling,563
elected,562
