text,size
today,758
romney,488
vote,351
stand,333
dadt,277
pic,247
twitter,247
forget,239
good,236
luck,229
left,227
child,227
college,227
afford,227
president,180
thinking,175
#obama,153
obama,151
barackobama,139
voting,133
#romneyryan,125
matter,124
country,110
election,105
machines,104
#election,102
drulzsnp,90
mr,73
mittromney,72
#romney,65
amen,62
america,61
real,59
contributed,59
capital,59
bain,59
algv,59
win,58
buys,52
owning,52
interest,52
#shady,48
#truth,48
investment,45
family,45
find,45
earth,45
utxker,45
change,45
#tcot,43
mi,40
tt,40
outcome,38
determine,38
#voteobama,38
day,37
voted,34
hope,34
bit,33
warfare,32
spiritual,32
#forward,32
save,28
repeal,28
years,25
info,24
fam,24
allvoices,24
votes,24
huh,24
give,24
kiss,22
xoxoxo,22
niggas,22
baby,22
song,22
care,22
love,22
decisively,22
theme,22
steveforbesceo,22
ly,21
watch,20
repubgrlprobs,20
obamacare,20
medicare,20
wins,19
gop,19
mitt,19
state,19
sarcasm,19
sophiabush,19
#veteransforromney,19
#noexcuses,19
#vote,19
#latinosforromney,19
el,16
felt,16
like,16
bump,16
prejudice,16
machine,16
make,16
nation,16
msnbc,16
videos,15
measured,15
de,14
losing,13
rican,13
blue,13
november,13
uhxvfef,13
leave,13
won,13
check,13
ytfomb,13
katyperry,13
back,13
hasn,13
skin,13
reminder,13
tonight,13
nigga,13
thought,13
county,13
voldemort,13
people,13
farmers,13
quw,13
harvest,13
beats,13
season,13
nails,13
pictures,13
governed,13
values,13
winter,13
patmnx,13
olaalfares,13
altaweli,13
dear,13
hug,13
ja,13
azizhilton,13
munchkinlk,13
rules,13
epatriots,13
mrs,13
proud,13
