text,size
barackobama,38
vote,38
make,35
president,35
#obama,29
years,27
mittromney,25
#election,19
line,17
polls,16
#romneyryan,15
#romney,15
obama,14
#usa,11
con,11
ich,11
voted,10
record,10
friend,10
remind,10
decision,10
maker,10
americans,10
ass,10
america,10
election,9
retweet,8
stay,8
results,8
torcendo,8
minute,8
#,7
#forward,7
#civicduty,7
#stayinline,7
#uswahl,7
#wouterbos,7
#electionday,7
#voteobama,7
#sadtrombone,7
love,6
ready,6
romney,6
instagram,5
den,5
pelo,5
bar,5
twitter,5
influi,5
state,5
boin,5
hey,5
give,5
work,5
querendo,5
maglietta,5
gud,5
remix,5
gicopelo,5
whoopin,5
irony,5
matter,5
lot,5
rolling,5
barack,5
fall,5
anciosa,5
rsonumglkr,5
cnn,5
abc,5
weary,5
people,5
happened,5
estados,5
speech,5
ebt,5
interview,5
sbaracca,5
brasil,5
pic,5
tweets,5
slbyz,5
das,5
credit,5
uscire,5
sosa,5
vorbereitet,5
elei,5
ugly,5
domani,5
pro,5
important,5
vorrei,5
sobre,5
dass,5
toughest,5
canada,5
vincesse,5
virginia,5
leaving,5
job,5
twitpic,5
unidos,5
rede,5
cards,5
turnout,5
lmfaooooooooo,5
habe,5
gewinne,5
tune,5
head,5
nos,5
nigga,5
scritto,5
fxn,5
live,5
coverage,5
niggas,5
resultado,5
resting,5
una,5
solo,5
tweet,5
retpds,5
super,5
npr,5
huh,5
lmfaooo,5
xx,4
xz,4
baz,4
youuglyonskype,4
remain,4
reportern,4
su,4
erz,4
eine,4
seanparnellusa,4
luck,4
lv,4
nur,4
huff,4
pbs,4
back,4
mess,4
bruh,4
disaster,4
ws,4
chuckwill,4
ou,4
