text,size,topic
prepare,3,14
hands,3,14
romney,11,14
republicans,5,14
syjt,7,14
palm,3,14
bring,3,14
interactive,3,14
voted,12,14
instagram,3,14
pelo,3,14
hope,3,14
trees,3,14
years,106,14
america,31,14
climb,3,14
twitter,7,14
srhxk,3,14
influi,3,14
record,7,14
ape,3,14
suppression,3,14
agfbuk,3,14
baz,3,14
youuglyonskype,3,14
state,3,14
boin,3,14
hey,3,14
give,27,14
cares,3,14
remain,3,14
work,6,14
lose,3,14
querendo,3,14
destroy,22,14
toilet,3,14
field,5,14
maglietta,3,14
gud,3,14
barackobama,43,14
gave,27,14
remix,3,14
love,7,14
gicopelo,3,14
strong,3,14
obama,75,14
babies,5,14
irony,3,14
remind,7,14
lot,3,14
remember,3,14
rolling,3,14
barack,3,14
fall,3,14
rights,3,14
stand,3,14
rsonumglkr,3,14
predicting,5,14
kids,8,14
rebuild,27,14
abcn,3,14
cnn,3,14
abc,5,14
retweet,8,14
decision,7,14
redyys,3,14
weary,3,14
mittromney,6,14
black,3,14
maker,7,14
bvpc,3,14
ofa,3,14
erz,3,14
people,3,14
democracy,3,14
happened,3,14
lead,7,14
stay,7,14
estados,3,14
call,3,14
americans,7,14
fxbfw,3,14
watch,3,14
speech,3,14
ebt,3,14
interview,3,14
fijy,3,14
citizens,3,14
ass,5,14
luck,3,14
con,8,14
sbaracca,3,14
florida,3,14
offices,3,14
numbers,3,14
cotton,3,14
brasil,3,14
pic,9,14
tweets,3,14
ich,8,14
ref,3,14
white,9,14
das,3,14
credit,3,14
results,7,14
uscire,3,14
defendpaulryan,3,14
sosa,3,14
nytimes,3,14
vorbereitet,3,14
elei,3,14
instagr,3,14
shade,3,14
ugly,3,14
domani,3,14
pro,3,14
important,3,14
vorrei,3,14
sobre,3,14
forget,3,14
dass,3,14
toughest,3,14
canada,3,14
dream,3,14
paths,3,14
desk,3,14
vincesse,3,14
mwst,3,14
campaign,3,14
virginia,3,14
huff,5,14
squeezes,3,14
leaving,3,14
job,3,14
unidos,3,14
pbs,3,14
politics,8,14
cards,3,14
turnout,3,14
line,13,14
bush,27,14
back,5,14
lmfaooooooooo,3,14
mess,3,14
gewinne,3,14
watching,8,14
house,3,14
qnyv,3,14
head,3,14
nos,3,14
ready,7,14
walking,8,14
men,8,14
nigga,3,14
lived,3,14
scritto,3,14
vote,29,14
make,27,14
fxn,3,14
win,3,14
live,3,14
chuckwill,3,14
coverage,3,14
niggas,3,14
election,15,14
wit,3,14
resultado,3,14
resting,3,14
torcendo,5,14
una,3,14
solo,3,14
tweet,3,14
minute,7,14
gbi,5,14
retpds,3,14
npr,3,14
cbs,3,14
huh,3,14
speakerboehner,3,14
wall,8,14
president,27,14
lmfaooo,3,14
