text,size,topic
hands,2,7
romney,8,7
switches,2,7
voted,3,7
den,2,7
years,26,7
america,34,7
bar,2,7
twitter,2,7
srhxk,2,7
influi,2,7
record,5,7
suppression,2,7
friend,5,7
baz,2,7
youuglyonskype,2,7
boin,2,7
hey,2,7
give,2,7
remain,2,7
work,2,7
querendo,2,7
mxu,2,7
field,2,7
maglietta,2,7
gud,2,7
barackobama,63,7
remix,2,7
love,5,7
gicopelo,2,7
obama,9,7
whoopin,2,7
irony,2,7
matter,2,7
remind,5,7
lot,2,7
twt,2,7
rolling,2,7
barack,2,7
fall,2,7
rsonumglkr,2,7
reportern,2,7
abcn,2,7
cnn,2,7
abc,2,7
retweet,5,7
decision,5,7
redyys,2,7
weary,2,7
mittromney,9,7
black,2,7
maker,3,7
erz,2,7
people,2,7
happened,2,7
democracy,2,7
stay,5,7
estados,2,7
americans,5,7
eine,2,7
watch,2,7
speech,2,7
ebt,2,7
voter,2,7
interview,2,7
ass,3,7
seanparnellusa,2,7
con,8,7
sbaracca,2,7
luck,2,7
offices,2,7
numbers,2,7
voting,3,7
brasil,2,7
pic,2,7
tweets,2,7
slbyz,2,7
ich,8,7
das,2,7
credit,2,7
results,3,7
uscire,2,7
sosa,2,7
vorbereitet,2,7
elei,2,7
ugly,2,7
domani,2,7
pro,2,7
important,2,7
vorrei,2,7
sobre,2,7
dass,2,7
toughest,2,7
canada,2,7
vincesse,2,7
campaign,2,7
virginia,2,7
huff,2,7
squeezes,2,7
leaving,2,7
job,2,7
twitpic,2,7
unidos,2,7
stlouis,2,7
pbs,2,7
rede,2,7
cards,2,7
united,2,7
turnout,2,7
line,14,7
back,2,7
lmfaooooooooo,2,7
polls,2,7
mess,2,7
gewinne,2,7
habe,2,7
watching,8,7
bruh,2,7
tune,2,7
head,2,7
nos,2,7
ana,2,7
ready,1,7
men,8,7
nigga,2,7
scritto,2,7
vote,62,7
make,34,7
fxn,2,7
win,2,7
live,2,7
chuckwill,2,7
coverage,2,7
niggas,2,7
election,17,7
resting,2,7
resultado,2,7
torcendo,5,7
una,2,7
solo,2,7
tweet,2,7
minute,5,7
retpds,2,7
npr,2,7
hlt,2,7
cbs,2,7
huh,2,7
president,30,7
lmfaooo,2,7
