text,size,topic
prepare,3,17
hands,3,17
syjt,7,17
counts,3,17
bring,3,17
voted,13,17
instagram,3,17
pelo,3,17
trees,3,17
srhxk,3,17
record,7,17
ape,3,17
agfbuk,3,17
baz,3,17
state,5,17
boin,3,17
cares,3,17
remain,3,17
querendo,3,17
toilet,3,17
rdsh,3,17
bussed,3,17
switching,3,17
strong,3,17
posted,3,17
remember,3,17
rolling,3,17
elecciones,3,17
kids,8,17
rebuild,28,17
abcn,3,17
abc,5,17
americana,3,17
decision,7,17
weary,3,17
black,3,17
maker,7,17
people,3,17
leftist,3,17
democracy,3,17
stay,7,17
estados,3,17
call,3,17
tells,3,17
americans,7,17
watch,3,17
speech,3,17
votes,7,17
interview,3,17
citizens,3,17
ass,5,17
sbaracca,3,17
florida,3,17
forced,3,17
offices,3,17
numbers,3,17
voting,3,17
brasil,3,17
tweets,3,17
ich,8,17
ref,3,17
white,9,17
bias,3,17
results,7,17
uscire,3,17
defendpaulryan,3,17
doesn,3,17
vorbereitet,3,17
shade,3,17
count,3,17
pay,3,17
pro,3,17
vorrei,3,17
sobre,3,17
toughest,3,17
canada,3,17
paths,3,17
desk,3,17
vincesse,3,17
campaign,3,17
huff,5,17
leaving,3,17
pbs,3,17
cards,3,17
back,5,17
lmfaooooooooo,3,17
farmers,3,17
watching,8,17
house,3,17
nos,3,17
lived,3,17
scritto,3,17
vote,33,17
live,5,17
chuckwill,3,17
coverage,3,17
niggas,3,17
ballot,5,17
harvest,3,17
election,15,17
resultado,3,17
resting,3,17
ticket,3,17
torcendo,5,17
una,3,17
solo,3,17
tweet,3,17
gbi,5,17
retpds,3,17
npr,3,17
huh,3,17
president,28,17
casa,3,17
romney,16,17
republicans,5,17
palm,3,17
interactive,3,17
hope,3,17
years,108,17
america,33,17
climb,3,17
number,8,17
twitter,10,17
confirming,3,17
influi,3,17
massachusetts,3,17
suppression,3,17
tmr,3,17
season,3,17
youuglyonskype,3,17
hey,3,17
give,28,17
work,6,17
lose,6,17
destroy,23,17
field,5,17
maglietta,3,17
gud,3,17
barackobama,48,17
gave,27,17
remix,3,17
love,7,17
gicopelo,3,17
woman,3,17
obama,85,17
babies,6,17
irony,3,17
matter,7,17
thinking,7,17
remind,7,17
lot,3,17
barack,3,17
fall,3,17
rights,5,17
older,3,17
stand,3,17
rsonumglkr,3,17
predicting,5,17
cnn,3,17
retweet,9,17
redyys,3,17
mittromney,7,17
bvpc,3,17
ofa,3,17
erz,3,17
lefts,3,17
happened,3,17
lead,7,17
nice,3,17
esperan,3,17
fxbfw,3,17
ebt,3,17
fijy,3,17
married,3,17
governed,3,17
luck,3,17
con,8,17
cotton,3,17
pic,12,17
points,5,17
das,3,17
credit,3,17
sosa,3,17
las,3,17
nytimes,3,17
proud,3,17
elei,3,17
instagr,5,17
ugly,3,17
domani,3,17
illegal,3,17
friends,3,17
important,3,17
forget,8,17
dass,3,17
dream,3,17
mwst,3,17
virginia,3,17
squeezes,3,17
job,3,17
unidos,3,17
politics,8,17
turnout,3,17
line,13,17
bush,27,17
rsehjujsim,3,17
winter,3,17
mess,3,17
gewinne,3,17
qnyv,3,17
blanca,3,17
cal,3,17
head,3,17
ready,7,17
walking,8,17
men,8,17
today,9,17
nigga,3,17
make,27,17
fxn,3,17
win,3,17
deserve,3,17
wit,3,17
dadt,7,17
minute,7,17
cbs,3,17
earth,3,17
attention,3,17
speakerboehner,3,17
wall,8,17
lmfaooo,3,17
