text,size,topic
romney,25,6
switches,5,6
voted,20,6
den,8,6
years,49,6
america,62,6
bar,8,6
twitter,8,6
srhxk,8,6
influi,8,6
record,17,6
suppression,8,6
friend,17,6
baz,8,6
youuglyonskype,5,6
boin,8,6
hey,5,6
give,8,6
remain,8,6
work,5,6
querendo,8,6
mxu,5,6
field,8,6
maglietta,8,6
gud,8,6
barackobama,137,6
remix,8,6
love,17,6
gicopelo,8,6
obama,26,6
whoopin,5,6
irony,8,6
matter,5,6
remind,17,6
lot,8,6
twt,5,6
rolling,5,6
barack,8,6
fall,8,6
rsonumglkr,8,6
reportern,5,6
abcn,8,6
cnn,8,6
abc,10,6
retweet,17,6
decision,17,6
redyys,5,6
weary,8,6
mittromney,32,6
black,8,6
maker,15,6
erz,5,6
people,8,6
happened,5,6
democracy,5,6
stay,17,6
estados,8,6
americans,17,6
eine,8,6
watch,5,6
speech,5,6
ebt,8,6
voter,8,6
interview,8,6
ass,15,6
seanparnellusa,8,6
con,19,6
sbaracca,8,6
luck,5,6
offices,8,6
numbers,8,6
voting,15,6
brasil,8,6
pic,8,6
tweets,8,6
slbyz,8,6
ich,19,6
das,8,6
credit,5,6
results,15,6
uscire,8,6
sosa,8,6
vorbereitet,8,6
elei,8,6
ugly,8,6
domani,8,6
pro,8,6
important,8,6
vorrei,8,6
sobre,8,6
dass,5,6
toughest,8,6
canada,8,6
vincesse,8,6
campaign,8,6
virginia,5,6
huff,10,6
squeezes,8,6
leaving,8,6
job,8,6
twitpic,8,6
unidos,5,6
stlouis,5,6
pbs,8,6
rede,8,6
cards,8,6
united,5,6
turnout,8,6
line,31,6
back,8,6
lmfaooooooooo,8,6
polls,10,6
mess,8,6
gewinne,8,6
habe,5,6
watching,11,6
bruh,5,6
tune,8,6
head,8,6
nos,8,6
ana,5,6
ready,13,6
men,11,6
nigga,5,6
scritto,8,6
vote,130,6
make,62,6
fxn,5,6
live,8,6
chuckwill,8,6
coverage,8,6
niggas,8,6
election,25,6
resting,8,6
resultado,5,6
torcendo,17,6
una,8,6
solo,5,6
tweet,8,6
minute,17,6
retpds,5,6
npr,5,6
hlt,5,6
cbs,8,6
huh,8,6
president,64,6
lmfaooo,8,6
