text,size,topic
prepare,3,15
hands,3,15
syjt,6,15
counts,3,15
bring,3,15
voted,11,15
instagram,3,15
pelo,3,15
trees,3,15
srhxk,3,15
record,6,15
ape,3,15
agfbuk,3,15
baz,3,15
state,4,15
boin,3,15
cares,3,15
remain,3,15
querendo,3,15
toilet,3,15
rdsh,3,15
strong,3,15
posted,3,15
remember,3,15
rolling,3,15
kids,8,15
rebuild,26,15
abcn,3,15
abc,4,15
decision,6,15
weary,3,15
black,3,15
maker,6,15
people,3,15
democracy,3,15
stay,6,15
estados,3,15
call,3,15
americans,6,15
watch,3,15
speech,3,15
interview,3,15
citizens,3,15
ass,4,15
sbaracca,3,15
florida,3,15
offices,3,15
numbers,3,15
brasil,3,15
tweets,3,15
ich,8,15
ref,3,15
white,8,15
results,6,15
uscire,3,15
defendpaulryan,3,15
vorbereitet,3,15
shade,3,15
pro,3,15
vorrei,3,15
sobre,3,15
toughest,3,15
canada,3,15
paths,3,15
desk,3,15
vincesse,3,15
campaign,3,15
huff,4,15
leaving,3,15
pbs,3,15
cards,3,15
back,4,15
lmfaooooooooo,3,15
watching,8,15
house,3,15
nos,3,15
lived,3,15
scritto,3,15
vote,30,15
live,3,15
chuckwill,3,15
coverage,3,15
niggas,3,15
ballot,4,15
election,14,15
resultado,3,15
resting,3,15
torcendo,4,15
una,3,15
solo,3,15
tweet,3,15
gbi,4,15
retpds,3,15
npr,3,15
huh,3,15
president,26,15
romney,13,15
republicans,4,15
palm,3,15
interactive,3,15
hope,3,15
years,103,15
america,29,15
climb,3,15
twitter,6,15
influi,3,15
massachusetts,3,15
suppression,3,15
youuglyonskype,3,15
hey,3,15
give,26,15
work,5,15
lose,4,15
destroy,21,15
field,4,15
maglietta,3,15
gud,3,15
barackobama,40,15
gave,26,15
remix,3,15
love,6,15
gicopelo,3,15
woman,3,15
obama,73,15
babies,4,15
irony,3,15
remind,6,15
lot,3,15
barack,3,15
fall,3,15
rights,4,15
older,3,15
stand,3,15
rsonumglkr,3,15
predicting,4,15
cnn,3,15
retweet,8,15
redyys,3,15
mittromney,6,15
bvpc,3,15
ofa,3,15
erz,3,15
happened,3,15
lead,6,15
fxbfw,3,15
ebt,3,15
fijy,3,15
married,3,15
governed,3,15
luck,3,15
con,8,15
cotton,3,15
pic,8,15
points,3,15
das,3,15
credit,3,15
sosa,3,15
nytimes,3,15
elei,3,15
instagr,4,15
ugly,3,15
domani,3,15
illegal,3,15
friends,3,15
important,3,15
forget,3,15
dass,3,15
dream,3,15
mwst,3,15
virginia,3,15
squeezes,3,15
job,3,15
unidos,3,15
politics,8,15
turnout,3,15
line,12,15
bush,26,15
rsehjujsim,3,15
mess,3,15
gewinne,3,15
qnyv,3,15
head,3,15
ready,6,15
walking,8,15
men,8,15
nigga,3,15
make,26,15
fxn,3,15
win,3,15
deserve,3,15
wit,3,15
minute,6,15
cbs,3,15
speakerboehner,3,15
wall,8,15
lmfaooo,3,15
