text,size,topic
hands,2,11
romney,7,11
republicans,2,11
syjt,4,11
bring,2,11
voted,6,11
instagram,2,11
pelo,2,11
years,4,11
america,18,11
twitter,0,11
srhxk,2,11
influi,2,11
record,4,11
suppression,2,11
agfbuk,2,11
baz,2,11
youuglyonskype,2,11
state,2,11
boin,2,11
hey,2,11
give,2,11
cares,2,11
remain,2,11
work,2,11
querendo,2,11
toilet,2,11
field,2,11
maglietta,2,11
gud,2,11
barackobama,24,11
remix,2,11
love,4,11
gicopelo,2,11
strong,2,11
obama,18,11
babies,2,11
irony,2,11
remind,4,11
lot,2,11
rolling,2,11
barack,2,11
fall,2,11
rights,2,11
stand,2,11
rsonumglkr,2,11
predicting,2,11
abcn,2,11
cnn,2,11
abc,2,11
retweet,4,11
decision,4,11
redyys,2,11
weary,2,11
mittromney,1,11
black,2,11
maker,4,11
bvpc,2,11
ofa,2,11
erz,2,11
people,2,11
democracy,2,11
happened,2,11
lead,4,11
stay,4,11
estados,2,11
americans,4,11
fxbfw,2,11
watch,2,11
speech,2,11
ebt,2,11
interview,2,11
fijy,2,11
citizens,2,11
ass,2,11
luck,2,11
con,5,11
sbaracca,2,11
florida,2,11
offices,2,11
numbers,2,11
brasil,2,11
pic,2,11
tweets,2,11
ich,5,11
das,2,11
credit,2,11
results,4,11
uscire,2,11
defendpaulryan,2,11
sosa,2,11
vorbereitet,2,11
elei,2,11
instagr,2,11
ugly,2,11
domani,2,11
pro,2,11
important,2,11
vorrei,2,11
sobre,2,11
forget,2,11
dass,2,11
toughest,2,11
canada,2,11
dream,2,11
desk,2,11
vincesse,2,11
campaign,2,11
virginia,2,11
huff,2,11
squeezes,2,11
leaving,2,11
job,2,11
unidos,2,11
pbs,2,11
cards,2,11
turnout,2,11
line,9,11
back,2,11
lmfaooooooooo,2,11
mess,2,11
gewinne,2,11
watching,5,11
qnyv,2,11
head,2,11
nos,2,11
ready,4,11
men,5,11
nigga,2,11
lived,2,11
scritto,2,11
vote,9,11
make,20,11
fxn,2,11
win,2,11
live,2,11
chuckwill,2,11
coverage,2,11
niggas,2,11
election,10,11
resultado,2,11
resting,2,11
torcendo,2,11
una,2,11
solo,2,11
tweet,2,11
minute,4,11
gbi,2,11
retpds,2,11
npr,2,11
cbs,2,11
huh,2,11
speakerboehner,2,11
president,19,11
lmfaooo,2,11
