text,size,topic
romney,12,5
switches,2,5
voted,7,5
den,2,5
years,19,5
america,24,5
bar,2,5
twitter,2,5
srhxk,3,5
influi,2,5
record,5,5
suppression,3,5
friend,5,5
baz,2,5
boin,2,5
hey,2,5
give,2,5
remain,2,5
work,2,5
querendo,2,5
mxu,2,5
field,3,5
maglietta,2,5
gud,2,5
barackobama,37,5
remix,2,5
love,5,5
gicopelo,2,5
obama,14,5
irony,2,5
remind,5,5
lot,2,5
twt,2,5
rolling,2,5
barack,2,5
fall,2,5
rsonumglkr,2,5
reportern,2,5
abcn,3,5
cnn,2,5
abc,3,5
retweet,5,5
decision,5,5
redyys,2,5
weary,2,5
mittromney,16,5
black,3,5
maker,3,5
erz,2,5
people,2,5
happened,2,5
democracy,2,5
stay,5,5
estados,2,5
americans,5,5
eine,2,5
watch,2,5
ebt,2,5
voter,3,5
interview,2,5
ass,5,5
seanparnellusa,2,5
con,7,5
sbaracca,2,5
offices,3,5
numbers,3,5
voting,6,5
brasil,2,5
pic,2,5
tweets,2,5
slbyz,2,5
ich,7,5
das,2,5
results,3,5
uscire,2,5
sosa,2,5
vorbereitet,2,5
elei,2,5
ugly,2,5
domani,2,5
pro,2,5
important,2,5
vorrei,2,5
sobre,2,5
toughest,2,5
canada,2,5
vincesse,2,5
campaign,3,5
virginia,2,5
huff,3,5
squeezes,3,5
leaving,2,5
job,2,5
twitpic,2,5
stlouis,2,5
pbs,2,5
rede,2,5
cards,2,5
united,2,5
turnout,2,5
line,11,5
back,2,5
lmfaooooooooo,2,5
mess,2,5
gewinne,2,5
watching,7,5
tune,2,5
head,2,5
nos,2,5
ana,2,5
ready,3,5
men,7,5
nigga,2,5
scritto,2,5
vote,60,5
make,24,5
fxn,2,5
live,2,5
chuckwill,2,5
coverage,2,5
niggas,2,5
election,12,5
resting,2,5
torcendo,5,5
una,2,5
solo,2,5
tweet,2,5
minute,5,5
retpds,2,5
npr,2,5
hlt,2,5
cbs,2,5
huh,2,5
president,23,5
lmfaooo,2,5
