text,size,topic
prepare,3,18
hands,3,18
syjt,7,18
counts,3,18
bring,3,18
voted,14,18
instagram,3,18
pelo,3,18
trees,3,18
srhxk,3,18
record,7,18
ape,3,18
agfbuk,3,18
baz,3,18
state,5,18
boin,3,18
cares,3,18
remain,3,18
querendo,3,18
toilet,3,18
rdsh,3,18
bussed,3,18
bujournalism,3,18
twb,3,18
switching,3,18
strong,3,18
posted,3,18
remember,3,18
rolling,3,18
elecciones,3,18
kids,8,18
rebuild,28,18
abcn,3,18
abc,5,18
americana,3,18
decision,7,18
weary,3,18
black,3,18
founded,8,18
maker,7,18
people,3,18
leftist,3,18
democracy,3,18
stay,7,18
estados,3,18
call,3,18
tells,3,18
americans,7,18
watch,3,18
speech,3,18
algv,3,18
votes,7,18
interview,3,18
citizens,3,18
ass,5,18
country,3,18
sbaracca,3,18
florida,3,18
forced,3,18
offices,3,18
numbers,3,18
voting,3,18
brasil,3,18
tweets,3,18
ich,8,18
ref,3,18
white,10,18
bias,3,18
results,7,18
uscire,3,18
defendpaulryan,3,18
info,3,18
doesn,3,18
vorbereitet,3,18
shade,3,18
count,3,18
pay,3,18
pro,3,18
vorrei,3,18
sobre,3,18
toughest,3,18
canada,3,18
paths,3,18
desk,3,18
vincesse,3,18
campaign,3,18
huff,5,18
leaving,3,18
pbs,3,18
cards,3,18
back,5,18
lmfaooooooooo,3,18
polls,3,18
farmers,3,18
watching,8,18
house,3,18
nos,3,18
lived,3,18
hard,3,18
scritto,3,18
vote,39,18
live,5,18
chuckwill,3,18
coverage,3,18
niggas,3,18
ballot,5,18
harvest,3,18
hours,3,18
election,19,18
resultado,3,18
resting,3,18
ticket,3,18
torcendo,5,18
una,3,18
socialism,3,18
solo,3,18
tweet,3,18
gbi,5,18
retpds,3,18
npr,3,18
anndromney,3,18
huh,3,18
president,28,18
casa,3,18
romney,16,18
republicans,5,18
palm,3,18
interactive,3,18
hope,3,18
years,110,18
america,39,18
climb,3,18
number,8,18
twitter,13,18
confirming,3,18
influi,3,18
massachusetts,3,18
suppression,3,18
tmr,3,18
season,3,18
youuglyonskype,3,18
hey,3,18
guide,3,18
give,29,18
work,6,18
lose,6,18
destroy,23,18
push,3,18
drink,3,18
field,5,18
maglietta,3,18
gud,3,18
ktok,3,18
barackobama,51,18
gave,28,18
remix,3,18
bennett,3,18
love,7,18
gicopelo,3,18
woman,3,18
obama,87,18
babies,6,18
irony,3,18
matter,7,18
thinking,7,18
remind,7,18
lot,3,18
barack,3,18
fall,3,18
rights,5,18
older,3,18
gotv,3,18
place,3,18
stand,3,18
rsonumglkr,3,18
predicting,5,18
cnn,3,18
retweet,10,18
redyys,3,18
mittromney,8,18
change,7,18
bvpc,3,18
ofa,3,18
erz,3,18
lefts,3,18
happened,3,18
lead,7,18
nice,3,18
esperan,3,18
fxbfw,3,18
ebt,3,18
fijy,3,18
married,3,18
governed,3,18
luck,3,18
con,8,18
cotton,3,18
pic,13,18
polling,3,18
points,5,18
find,3,18
das,3,18
credit,3,18
sosa,3,18
las,3,18
nytimes,3,18
proud,3,18
drinking,3,18
elei,3,18
instagr,5,18
ugly,3,18
domani,3,18
stranded,3,18
illegal,3,18
friends,3,18
important,3,18
entry,3,18
forget,8,18
dass,3,18
dream,3,18
mwst,3,18
virginia,3,18
squeezes,3,18
job,3,18
unidos,3,18
politics,8,18
turnout,3,18
line,14,18
bush,28,18
rsehjujsim,3,18
winter,3,18
phones,3,18
mess,3,18
gewinne,3,18
qnyv,3,18
blanca,3,18
cal,3,18
head,3,18
ready,7,18
walking,8,18
men,8,18
today,10,18
nigga,3,18
make,28,18
fxn,3,18
win,3,18
deserve,5,18
wit,3,18
dadt,7,18
minute,7,18
cbs,3,18
earth,3,18
attention,3,18
speakerboehner,3,18
wall,8,18
lmfaooo,3,18
