text,size,topic
prepare,3,16
hands,3,16
syjt,6,16
counts,3,16
bring,3,16
voted,11,16
instagram,3,16
pelo,3,16
trees,3,16
srhxk,3,16
record,6,16
ape,3,16
agfbuk,3,16
baz,3,16
state,4,16
boin,3,16
cares,3,16
remain,3,16
querendo,3,16
toilet,3,16
rdsh,3,16
strong,3,16
posted,3,16
remember,3,16
rolling,3,16
elecciones,3,16
kids,8,16
rebuild,26,16
abcn,3,16
abc,4,16
americana,3,16
decision,6,16
weary,3,16
black,3,16
maker,6,16
people,3,16
democracy,3,16
stay,6,16
estados,3,16
call,3,16
tells,3,16
americans,6,16
watch,3,16
speech,3,16
interview,3,16
citizens,3,16
ass,4,16
sbaracca,3,16
florida,3,16
offices,3,16
numbers,3,16
voting,3,16
brasil,3,16
tweets,3,16
ich,8,16
ref,3,16
white,8,16
results,6,16
uscire,3,16
defendpaulryan,3,16
vorbereitet,3,16
shade,3,16
pro,3,16
vorrei,3,16
sobre,3,16
toughest,3,16
canada,3,16
paths,3,16
desk,3,16
vincesse,3,16
campaign,3,16
huff,4,16
leaving,3,16
pbs,3,16
cards,3,16
back,4,16
lmfaooooooooo,3,16
watching,8,16
house,3,16
nos,3,16
lived,3,16
scritto,3,16
vote,30,16
live,3,16
chuckwill,3,16
coverage,3,16
niggas,3,16
ballot,4,16
election,14,16
resultado,3,16
resting,3,16
ticket,3,16
torcendo,4,16
una,3,16
solo,3,16
tweet,3,16
gbi,4,16
retpds,3,16
npr,3,16
huh,3,16
president,26,16
casa,3,16
romney,13,16
republicans,4,16
palm,3,16
interactive,3,16
hope,3,16
years,103,16
america,29,16
climb,3,16
number,8,16
twitter,7,16
influi,3,16
massachusetts,3,16
suppression,3,16
tmr,3,16
youuglyonskype,3,16
hey,3,16
give,26,16
work,5,16
lose,5,16
destroy,21,16
field,4,16
maglietta,3,16
gud,3,16
barackobama,40,16
gave,26,16
remix,3,16
love,6,16
gicopelo,3,16
woman,3,16
obama,77,16
babies,4,16
irony,3,16
remind,6,16
lot,3,16
barack,3,16
fall,3,16
rights,4,16
older,3,16
stand,3,16
rsonumglkr,3,16
predicting,4,16
cnn,3,16
retweet,8,16
redyys,3,16
mittromney,6,16
bvpc,3,16
ofa,3,16
erz,3,16
lefts,3,16
happened,3,16
lead,6,16
esperan,3,16
fxbfw,3,16
ebt,3,16
fijy,3,16
married,3,16
governed,3,16
luck,3,16
con,8,16
cotton,3,16
pic,10,16
points,4,16
das,3,16
credit,3,16
sosa,3,16
las,3,16
nytimes,3,16
proud,3,16
elei,3,16
instagr,4,16
ugly,3,16
domani,3,16
illegal,3,16
friends,3,16
important,3,16
forget,3,16
dass,3,16
dream,3,16
mwst,3,16
virginia,3,16
squeezes,3,16
job,3,16
unidos,3,16
politics,8,16
turnout,3,16
line,12,16
bush,26,16
rsehjujsim,3,16
mess,3,16
gewinne,3,16
qnyv,3,16
blanca,3,16
head,3,16
ready,6,16
walking,8,16
men,8,16
nigga,3,16
make,26,16
fxn,3,16
win,3,16
deserve,3,16
wit,3,16
minute,6,16
cbs,3,16
speakerboehner,3,16
wall,8,16
lmfaooo,3,16
