text,size,topic
hands,1,10
romney,5,10
republicans,1,10
bring,1,10
voted,4,10
instagram,1,10
pelo,1,10
years,1,10
america,13,10
twitter,-0,10
srhxk,1,10
influi,1,10
record,3,10
suppression,1,10
agfbuk,1,10
baz,1,10
youuglyonskype,1,10
state,1,10
boin,1,10
hey,1,10
give,1,10
cares,1,10
remain,1,10
work,-0,10
querendo,1,10
toilet,1,10
field,1,10
maglietta,1,10
gud,1,10
barackobama,13,10
remix,1,10
love,3,10
gicopelo,1,10
strong,1,10
obama,15,10
irony,1,10
remind,3,10
lot,1,10
rolling,1,10
barack,1,10
fall,1,10
rights,1,10
stand,1,10
rsonumglkr,1,10
predicting,1,10
abcn,1,10
cnn,1,10
abc,1,10
retweet,3,10
decision,3,10
redyys,1,10
weary,1,10
mittromney,-2,10
black,1,10
maker,3,10
bvpc,1,10
ofa,1,10
erz,1,10
people,1,10
democracy,1,10
happened,1,10
lead,3,10
stay,3,10
estados,1,10
americans,3,10
fxbfw,1,10
watch,1,10
speech,1,10
ebt,1,10
interview,1,10
fijy,1,10
citizens,1,10
ass,1,10
luck,1,10
con,4,10
sbaracca,1,10
florida,1,10
offices,1,10
numbers,1,10
brasil,1,10
pic,-0,10
tweets,1,10
ich,4,10
das,1,10
credit,1,10
results,3,10
uscire,1,10
defendpaulryan,1,10
sosa,1,10
vorbereitet,1,10
elei,1,10
instagr,1,10
ugly,1,10
domani,1,10
pro,1,10
important,1,10
vorrei,1,10
sobre,1,10
forget,1,10
dass,1,10
toughest,1,10
canada,1,10
dream,1,10
desk,1,10
vincesse,1,10
campaign,1,10
virginia,1,10
huff,1,10
squeezes,1,10
leaving,1,10
job,1,10
unidos,1,10
pbs,1,10
cards,1,10
turnout,1,10
line,7,10
back,1,10
lmfaooooooooo,1,10
mess,1,10
gewinne,1,10
watching,4,10
qnyv,1,10
head,1,10
nos,1,10
ready,3,10
men,4,10
nigga,1,10
lived,1,10
scritto,1,10
vote,-3,10
make,17,10
fxn,1,10
win,1,10
live,1,10
chuckwill,1,10
coverage,1,10
niggas,1,10
election,8,10
resultado,1,10
resting,1,10
torcendo,1,10
una,1,10
solo,1,10
tweet,1,10
minute,3,10
retpds,1,10
npr,1,10
cbs,1,10
huh,1,10
speakerboehner,1,10
president,15,10
lmfaooo,1,10
