text,size,topic
romney,12,2
switches,5,2
voted,8,2
instagram,5,2
den,5,2
pelo,5,2
years,23,2
america,35,2
twitter,5,2
srhxk,5,2
influi,5,2
record,10,2
suppression,5,2
baz,5,2
youuglyonskype,5,2
state,5,2
boin,5,2
give,5,2
remain,5,2
querendo,5,2
pennsylvania,5,2
field,5,2
maglietta,5,2
gud,5,2
barackobama,25,2
remix,5,2
love,10,2
gicopelo,5,2
obama,28,2
whoopin,5,2
irony,5,2
remind,10,2
barack,5,2
fall,5,2
rsonumglkr,5,2
reportern,5,2
abcn,5,2
cnn,5,2
abc,8,2
retweet,10,2
decision,10,2
weary,5,2
mittromney,17,2
black,5,2
maker,10,2
erz,5,2
people,5,2
democracy,5,2
happened,5,2
stay,10,2
estados,5,2
americans,10,2
eine,5,2
speech,5,2
ebt,5,2
voter,5,2
interview,5,2
citizens,5,2
ass,8,2
luck,5,2
con,11,2
sbaracca,5,2
offices,5,2
numbers,5,2
nur,5,2
brasil,5,2
pic,5,2
tweets,5,2
slbyz,5,2
ich,11,2
das,5,2
results,8,2
uscire,5,2
vorbereitet,5,2
ugly,5,2
domani,5,2
vorrei,5,2
sobre,5,2
dass,5,2
toughest,5,2
vincesse,5,2
campaign,5,2
virginia,5,2
squeezes,5,2
huff,5,2
job,5,2
twitpic,5,2
unidos,5,2
pbs,5,2
rede,5,2
cards,5,2
turnout,5,2
line,17,2
back,5,2
polls,10,2
lmfaooooooooo,5,2
mess,5,2
habe,5,2
gewinne,5,2
tune,5,2
head,5,2
nos,5,2
ready,8,2
scritto,5,2
vote,86,2
make,35,2
fxn,5,2
chuckwill,5,2
niggas,5,2
election,5,2
resting,5,2
torcendo,10,2
una,5,2
solo,5,2
npr,5,2
hlt,5,2
cbs,5,2
huh,5,2
president,36,2
lmfaooo,5,2
