text,size,topic
hands,2,12
romney,7,12
republicans,2,12
syjt,4,12
bring,2,12
voted,6,12
instagram,2,12
pelo,2,12
years,4,12
america,18,12
twitter,-1,12
srhxk,2,12
influi,2,12
record,4,12
suppression,2,12
agfbuk,2,12
baz,2,12
youuglyonskype,2,12
state,2,12
boin,2,12
hey,2,12
give,2,12
cares,2,12
remain,2,12
work,2,12
querendo,2,12
toilet,2,12
field,2,12
maglietta,2,12
gud,2,12
barackobama,24,12
remix,2,12
love,4,12
gicopelo,2,12
strong,2,12
obama,18,12
babies,2,12
irony,2,12
remind,4,12
lot,2,12
rolling,2,12
barack,2,12
fall,2,12
rights,2,12
stand,2,12
rsonumglkr,2,12
predicting,2,12
abcn,2,12
cnn,2,12
abc,2,12
retweet,4,12
decision,4,12
redyys,2,12
weary,2,12
mittromney,1,12
black,2,12
maker,4,12
bvpc,2,12
ofa,2,12
erz,2,12
people,2,12
democracy,2,12
happened,2,12
lead,4,12
stay,4,12
estados,2,12
americans,4,12
fxbfw,2,12
watch,2,12
speech,2,12
ebt,2,12
interview,2,12
fijy,2,12
citizens,2,12
ass,2,12
luck,2,12
con,5,12
sbaracca,2,12
florida,2,12
offices,2,12
numbers,2,12
brasil,2,12
pic,1,12
tweets,2,12
ich,5,12
das,2,12
credit,2,12
results,4,12
uscire,2,12
defendpaulryan,2,12
sosa,2,12
vorbereitet,2,12
elei,2,12
instagr,2,12
ugly,2,12
domani,2,12
pro,2,12
important,2,12
vorrei,2,12
sobre,2,12
forget,2,12
dass,2,12
toughest,2,12
canada,2,12
dream,2,12
desk,2,12
vincesse,2,12
mwst,2,12
campaign,2,12
virginia,2,12
huff,2,12
squeezes,2,12
leaving,2,12
job,2,12
unidos,2,12
pbs,2,12
cards,2,12
turnout,2,12
line,9,12
back,2,12
lmfaooooooooo,2,12
mess,2,12
gewinne,2,12
watching,5,12
qnyv,2,12
head,2,12
nos,2,12
ready,4,12
walking,5,12
men,5,12
nigga,2,12
lived,2,12
scritto,2,12
vote,9,12
make,20,12
fxn,2,12
win,2,12
live,2,12
chuckwill,2,12
coverage,2,12
niggas,2,12
election,10,12
resultado,2,12
resting,2,12
torcendo,2,12
una,2,12
solo,2,12
tweet,2,12
minute,4,12
gbi,2,12
retpds,2,12
npr,2,12
cbs,2,12
huh,2,12
speakerboehner,2,12
wall,5,12
president,19,12
lmfaooo,2,12
