text,size,topic
hands,2,8
romney,7,8
republicans,2,8
voted,6,8
instagram,2,8
pelo,2,8
years,4,8
america,19,8
twitter,2,8
srhxk,2,8
influi,2,8
record,4,8
suppression,2,8
agfbuk,2,8
baz,2,8
youuglyonskype,2,8
state,2,8
boin,2,8
hey,2,8
give,2,8
cares,2,8
remain,2,8
work,2,8
querendo,2,8
toilet,2,8
field,2,8
maglietta,2,8
gud,2,8
barackobama,26,8
remix,2,8
love,4,8
gicopelo,2,8
strong,2,8
obama,18,8
irony,2,8
remind,4,8
lot,2,8
rolling,2,8
barack,2,8
fall,2,8
rights,2,8
stand,2,8
rsonumglkr,2,8
predicting,2,8
abcn,2,8
cnn,2,8
abc,2,8
retweet,4,8
decision,4,8
redyys,2,8
weary,2,8
mittromney,1,8
black,2,8
maker,4,8
erz,2,8
people,2,8
democracy,2,8
happened,2,8
lead,4,8
stay,4,8
estados,2,8
americans,4,8
fxbfw,2,8
watch,2,8
speech,2,8
ebt,2,8
interview,2,8
fijy,2,8
citizens,2,8
ass,2,8
luck,2,8
con,5,8
sbaracca,2,8
offices,2,8
numbers,2,8
brasil,2,8
pic,2,8
tweets,2,8
ich,5,8
das,2,8
credit,2,8
results,4,8
uscire,2,8
defendpaulryan,2,8
sosa,2,8
vorbereitet,2,8
elei,2,8
instagr,2,8
ugly,2,8
domani,2,8
pro,2,8
important,2,8
vorrei,2,8
sobre,2,8
forget,2,8
dass,2,8
toughest,2,8
canada,2,8
dream,2,8
desk,2,8
vincesse,2,8
campaign,2,8
virginia,2,8
huff,2,8
squeezes,2,8
leaving,2,8
job,2,8
unidos,2,8
pbs,2,8
cards,2,8
turnout,2,8
line,9,8
back,2,8
lmfaooooooooo,2,8
mess,2,8
gewinne,2,8
watching,5,8
head,2,8
nos,2,8
ready,4,8
men,5,8
nigga,2,8
lived,2,8
scritto,2,8
vote,14,8
make,20,8
fxn,2,8
win,2,8
live,2,8
chuckwill,2,8
coverage,2,8
niggas,2,8
election,10,8
resultado,2,8
resting,2,8
torcendo,2,8
una,2,8
solo,2,8
tweet,2,8
minute,4,8
retpds,2,8
npr,2,8
cbs,2,8
huh,2,8
speakerboehner,2,8
president,19,8
lmfaooo,2,8
