text,size,topic
romney,4,4
voted,2,4
den,1,4
years,13,4
america,17,4
bar,1,4
twitter,1,4
srhxk,1,4
influi,1,4
record,3,4
suppression,1,4
friend,3,4
baz,1,4
boin,1,4
hey,1,4
give,1,4
remain,1,4
work,1,4
querendo,1,4
mxu,1,4
field,1,4
maglietta,1,4
gud,1,4
barackobama,19,4
remix,1,4
love,3,4
gicopelo,1,4
obama,8,4
irony,1,4
remind,3,4
lot,1,4
twt,1,4
rolling,1,4
barack,1,4
fall,1,4
rsonumglkr,1,4
reportern,1,4
abcn,1,4
cnn,1,4
abc,1,4
retweet,3,4
decision,3,4
redyys,1,4
weary,1,4
mittromney,10,4
black,1,4
maker,1,4
erz,1,4
people,1,4
happened,1,4
stay,3,4
estados,1,4
americans,3,4
eine,1,4
ebt,1,4
voter,1,4
interview,1,4
ass,3,4
seanparnellusa,1,4
con,4,4
sbaracca,1,4
offices,1,4
numbers,1,4
voting,3,4
brasil,1,4
pic,1,4
tweets,1,4
slbyz,1,4
ich,4,4
das,1,4
results,1,4
uscire,1,4
sosa,1,4
vorbereitet,1,4
elei,1,4
ugly,1,4
domani,1,4
pro,1,4
important,1,4
vorrei,1,4
sobre,1,4
toughest,1,4
canada,1,4
vincesse,1,4
campaign,1,4
virginia,1,4
huff,1,4
squeezes,1,4
leaving,1,4
job,1,4
twitpic,1,4
stlouis,1,4
pbs,1,4
rede,1,4
cards,1,4
united,1,4
turnout,1,4
line,7,4
back,1,4
lmfaooooooooo,1,4
mess,1,4
gewinne,1,4
watching,4,4
tune,1,4
head,1,4
nos,1,4
ana,1,4
ready,1,4
men,4,4
nigga,1,4
scritto,1,4
vote,43,4
make,17,4
fxn,1,4
live,1,4
chuckwill,1,4
coverage,1,4
niggas,1,4
election,8,4
resting,1,4
torcendo,3,4
una,1,4
solo,1,4
tweet,1,4
minute,3,4
retpds,1,4
npr,1,4
hlt,1,4
cbs,1,4
huh,1,4
president,13,4
lmfaooo,1,4
