text,size
line,219
vote,127
dade,120
tonight,109
folks,98
faith,91
government,91
dear,91
god,91
restoration,82
miami,76
twitter,58
rbnwla,54
elections,54
patience,54
clear,54
wins,32
pic,22
stay,21
#lnyhbt,20
#tcot,20
#romneyryan,20
#teaparty,20
#prayforromney,20
people,20
president,20
#obama,19
fact,9
black,9
romney,7
obama,7
#annoyed,7
#forward,7
#keepitreal,7
#,5
called,4
bring,4
voting,4
promise,4
troops,4
america,4
leave,4
day,4
struggle,4
lives,4
iraq,4
million,4
recipients,4
person,4
guys,4
columbus,4
doubled,4
gays,4
students,4
marine,4
poors,4
punched,4
tragic,4
compliment,4
backstage,4
win,4
funding,4
pretty,4
decision,4
mittromney,4
war,4
home,4
tells,4
face,4
vsxag,4
increasing,4
hanging,4
pell,3
number,3
grants,3
