text,size
obama,30
republicans,30
work,30
lead,30
mitt,15
#romneyryan,9
voting,8
jay,8
youtu,8
#tcot,7
#gop,5
#changeisneeded,5
#benghazi,5
#romney,5
predicting,5
navy,4
american,4
pic,4
ipod,4
years,4
springsteen,4
put,4
hehehe,4
twitter,4
attacks,4
seals,4
won,4
rueo,4
rally,4
twydsm,4
replacing,4
toilet,4
stop,4
sucked,4
desk,4
curse,4
word,4
support,4
love,4
independent,4
hoes,4
ain,4
dkjtbpxlq,4
vote,4
monday,4
rest,4
revenge,4
retweeting,4
knew,4
future,4
fake,4
removes,4
story,4
country,3
political,3
history,3
worse,3
elected,3
speaker,3
worst,3
iresistall,3
problems,3
save,3
house,3
casting,3
disrespectful,3
bruce,3
chac,3
speakerboehner,3
president,3
