text,size
dur,22
wsj,22
des,22
avait,22
barack,18
pic,12
twitter,12
usa,11
gop,11
iran,11
obama,11
#election,8
presidents,7
chaine,7
ete,7
les,7
info,7
crisis,7
presidentielle,7
qxqj,7
francophone,7
monde,7
rape,7
htm,7
center,7
nhk,7
americans,7
online,7
sidents,7
#romneyryan,6
tv,6
#usa,6
#tcot,6
#gop,6
#mittlies,6
#etatsunis,6
#iran,6
vu,6
#news,6
si,6
#teaparty,6
#ccot,6
le,6
org,5
#ivoted,4
#nobama,4
#teambiden,4
#teamobama,4
#barackobama,4
#obama,3
aspx,3
de,3
pr,3
dossiers,3
noonan,3
real,3
#p,3
article,3
cms,3
sb,3
peggy,3
redaction,3
la,3
romney,2
chicago,2
image,2
ef,2
qt,2
artupload,2
barackobama,2
divisive,2
politics,2
back,2
abf,2
ebb,2
rightwingart,2
michelleobama,2
hqxs,2
votes,2
