text,size
romney,115
governed,115
massachusetts,103
mitt,67
vote,53
people,43
state,31
losing,19
recovery,15
nov,15
deserve,15
real,15
americans,15
#forward,15
#obama,11
#romneyryan,10
#tcot,10
utxker,9
#cnnelections,6
#votedtodayalreadu,6
#sorrynotsorry,6
#dontberacist,6
#barack,6
tt,6
mi,6
blind,4
perfect,4
passionate,4
political,4
video,4
wasn,4
high,4
agfbuk,4
hopes,4
stand,4
defendpaulryan,4
instagr,4
check,4
stephanigale,4
daddy,4
forget,4
person,4
president,4
good,3
point,3
years,3
black,3
rq,3
