text,size
vote,907
retweet,320
#romneyryan,306
#obama,291
obama,283
barackobama,267
pic,250
wins,217
twitter,217
#election,214
romney,212
future,198
#tcot,170
#vote,157
deserve,132
#voteobama,131
close,123
algv,118
place,118
students,117
voted,114
state,111
#forward,110
borrow,108
parents,108
money,108
advice,108
babies,102
fmw,101
sported,101
live,98
today,96
lines,95
count,93
election,91
polling,90
#romney,88
katyperry,85
losing,78
massachusetts,78
governed,78
food,78
people,75
day,73
bias,72
confirming,72
ofa,72
work,72
fuel,71
shopping,71
hoarding,71
part,71
process,71
#romeyryan,70
america,69
find,69
win,67
qbcpdvx,66
leftist,64
blue,64
mi,62
tt,62
wait,59
#ivoted,58
#ohio,58
mitt,55
mittromney,55
patient,53
equal,52
voters,50
utxker,50
years,49
bo,48
hard,48
president,48
change,48
polls,48
#usa,45
xmas,44
voting,44
breathed,43
lived,43
utm,40
back,40
grants,38
pell,38
doubled,38
funding,38
like,38
fight,38
ensure,38
founded,38
pour,38
#voteromney,38
#florida,38
#pennsylvania,38
votes,37
tonight,37
americans,36
ohio,36
ffsw,36
doesn,35
worth,35
pay,34
left,32
healthcare,32
stand,32
affordable,32
access,32
equality,32
military,32
voice,32
country,32
difference,31
cal,31
#gop,30
#copolitics,30
#puppetpres,30
#backfired,30
#teamobama,30
machine,29
stupid,28
elections,28
make,27
dragon,27
push,27
phone,27
power,27
afford,26
qdpgd,24
guantanamo,24
expanded,24
rights,24
camera,24
drbm,24
married,24
responds,24
caught,24
letter,24
twitpic,24
stacylambe,24
olds,24
lose,24
failed,24
history,24
filthy,24
hearts,24
ryan,23
receive,23
black,23
