text,size
vote,137
day,48
polling,32
pic,32
twitter,32
friend,32
termz,32
camp,32
nqhfd,32
qhtrn,32
place,32
ofa,32
confirm,32
jordans,32
bring,26
election,26
country,23
find,23
utxker,23
back,23
line,17
#obama,16
happy,15
count,15
remember,15
today,15
#palpatinevader,14
wait,12
make,12
#obamabiden,12
#romneyryan,12
barackobama,9
qq,7
#,7
bo,7
tt,7
mi,7
#firedup,6
#forward,6
#voteobama,6
#election,6
ohio,4
starts,4
lightning,4
sense,4
letter,4
palpatine,4
force,4
polls,4
fett,4
colored,4
pretty,4
boba,4
chance,4
makes,4
message,4
dope,4
watch,4
approve,4
backs,4
dm,3
rainbow,3
qotslz,3
cnn,3
