text,size
asco,80
vote,65
country,45
barackobama,38
change,36
food,36
romney,34
love,34
reyezuelos,24
bit,24
cara,24
aaaaaag,24
los,24
musulman,24
das,24
ver,24
verguenza,24
arabes,24
revenge,24
negro,24
reverencia,20
ykcm,20
president,20
twitter,16
pic,16
#tcot,16
#tlot,16
students,16
campaign,16
#nj,14
#obama,14
#democrat,13
watch,11
states,11
#sandy,11
#romneyryan,11
#nobama,11
#teachforamerica,11
mittromney,10
tuesday,10
raskpv,9
banks,9
opportunity,9
recognize,9
clocks,9
drive,9
access,9
national,9
equality,9
ofa,9
americans,9
mzwk,9
movement,9
tonight,9
helped,9
marriage,9
xtr,9
da,8
tt,8
tu,8
ly,8
mi,8
el,8
victims,7
depleted,7
fill,7
election,7
#ny,7
#presidentmittromney,7
#romney,7
obama,5
bo,5
sh,5
reminder,5
voting,5
like,5
deserve,5
futures,5
cguewt,4
college,4
trump,4
half,4
hahaa,4
america,4
lost,4
katgraham,4
volunteers,4
rxjmvh,4
winner,4
phone,4
offering,4
strong,4
ain,4
mending,4
matter,4
deluged,4
sadowski,4
slave,4
handing,4
power,4
alexisbledel,4
brandonjrouth,4
november,4
donald,4
lvuegxfo,4
picked,4
ferrell,4
kxu,4
pzy,4
important,4
weren,4
fences,4
governor,4
drop,4
blankets,4
paulryanvp,4
outs,4
candidate,4
kidding,4
sounds,4
win,4
nydon,4
wit,4
built,4
pols,4
tboa,4
reason,3
education,3
zmkryy,3
nydee,3
world,3
sl,3
ova,3
lifetime,3
du,3
#p,3
lmfao,3
dang,3
wisconsin,3
