text,size
longer,22
dead,22
david,22
mamet,22
brain,22
liberal,22
leader,7
villagevoice,7
liberals,7
reminds,7
strong,7
man,7
stand,7
ethical,7
#tcot,6
#romneyryan,6
#lnyhbt,6
#tlot,6
#obama,6
#gop,4
#mdlr,4
#foxnews,4
#styld,4
#vote,4
#forward,4
#ohio,4
#livingroomstour,4
#cnnelections,4
#sayfie,4
#romney,4
#election,4
vote,4
election,4
pic,3
twitter,3
post,3
slapping,3
rally,3
happen,3
barackobama,3
tumblr,3
make,3
playwright,3
reagan,3
decent,3
screenwriter,3
mittromney,3
ronald,3
yor,2
ilklhmw,2
#,2
like,2
robdelaney,2
youtu,2
bv,2
term,2
retweet,2
momma,2
people,2
