text,size
points,1019
ballot,952
posted,907
retweet,879
tmr,468
romney,307
pic,292
lose,235
obama,174
mittromney,165
twitter,142
wins,136
donate,136
#voteobama,135
#teamobama,133
#obama,125
building,105
started,105
barackobama,100
#election,93
#romneyryan,93
africa,93
boat,93
loses,93
vote,90
qwslrd,89
#tcot,81
case,81
ohio,72
win,64
bq,63
tonight,60
mitt,51
voting,51
voted,49
goo,43
choose,43
future,43
charity,43
cute,43
brighter,43
lol,43
tapcvuml,43
today,42
de,38
china,34
election,33
president,33
wb,33
panther,31
counter,31
bit,31
black,31
forces,31
dlfqr,31
presence,31
#romney,31
make,30
trending,29
won,26
years,26
#vote,25
#benghazi,25
politico,25
instagr,23
great,23
aan,21
maal,21
tweet,21
naar,21
fuck,21
change,21
ofa,21
doorverwezen,21
busy,21
working,21
vraagt,21
voor,21
ons,21
watch,21
ook,21
nos,21
babeeeeee,21
praying,21
#green,21
back,19
difference,19
#gop,18
#libya,18
salary,18
en,18
#p,18
gl,18
ly,18
#,16
bring,15
supporters,15
political,15
real,15
tips,15
seals,15
special,15
literallyfedup,15
head,15
polls,15
navy,15
like,15
number,14
mil,14
workers,14
guard,14
create,14
day,14
acct,13
close,13
americans,13
official,13
rgeqm,13
offshores,13
told,13
crazy,13
ain,13
return,13
pressure,13
deposits,13
problems,13
maintain,13
mkemgv,13
confirm,13
country,13
sljtai,13
changed,13
show,13
lezlie,13
race,13
cast,13
abandoned,13
treason,13
power,13
hadn,13
fraud,13
died,13
car,13
digd,12
bo,12
worden,12
jobs,12
om,12
telefoon,12
mijnheer,12
