text,size
obama,35
loses,23
#tcot,9
#obama,9
die,8
unrest,8
pic,8
twitter,8
incite,8
military,8
order,8
happen,8
telling,8
sources,8
ready,8
stand,8
yovxecyk,8
groups,8
htz,8
americans,8
ambassador,8
stevens,8
#lauder,7
#israel,7
#uselections,7
#poll,7
#romneyryan,7
#elections,7
#ivoteisrael,7
#romney,7
romney,6
#uspoli,5
#fuckromney,5
#canada,5
#election,5
voted,4
forget,4
gave,4
sav,4
li,4
ewwxy,4
ohio,4
fighting,4
ummm,4
losing,4
confused,4
state,4
instagr,4
ddqnmb,4
jjry,4
lisa,4
battleground,4
washington,4
care,4
twtrcv,4
rejected,4
polls,4
paulryanvp,4
vote,4
rgs,4
coverage,4
chai,4
health,4
ofa,4
survivor,4
breast,4
carmen,4
tt,3
country,3
ly,3
mi,3
fear,3
imminent,3
maps,3
candidates,3
back,3
ny,3
bo,3
states,3
exposed,3
make,3
key,3
winning,3
ow,3
landslide,3
lead,3
cancer,3
obamunsim,3
president,3
