text,size
vote,240
state,78
election,38
nov,31
back,27
bring,24
#romneyryan,19
difference,18
crucial,18
today,18
make,18
tt,18
mi,18
obama,17
#election,17
#obama,17
#romney,17
america,16
colorado,14
place,14
minnesota,13
polling,13
find,13
critical,13
securing,13
victory,13
tw,12
zdfc,11
pennsylvania,10
iowa,10
wisconsin,10
zhf,10
barackobama,10
mitt,9
romney,8
retweet,8
za,8
florida,8
#fuckobama,8
#va,8
ssn,8
#tcot,8
#nh,8
#ohio,8
default,8
#pa,8
share,8
#hispano,8
trash,8
utm,8
#co,8
wins,6
ly,6
new,6
hampshire,6
yec,6
sandy,6
political,5
supporting,5
bad,4
republicans,4
spectacularly,4
voted,4
hr,4
curb,4
hope,4
bit,4
problem,4
pick,4
moving,4
work,4
indieobama,4
hurricane,4
xjef,4
shouldn,4
analysis,4
schools,4
unemployment,4
viral,4
favorite,4
talking,4
elect,4
weak,4
crime,4
predicting,4
yzb,4
democrats,4
cretin,4
team,4
lead,4
swing,4
future,4
choice,4
tonight,4
ryan,4
country,4
trickles,4
ohio,4
source,4
things,4
ada,4
christians,4
like,4
finally,4
solely,4
andy,4
sailors,4
safe,4
campaign,4
nh,4
reid,4
virginia,4
unfollow,4
needed,4
michelle,4
part,4
medium,4
carolfaulkner,4
relief,4
win,4
geeking,4
chance,4
ow,4
home,4
lady,4
willed,4
