text,size
years,2240
people,1743
romney,1591
massachusetts,1496
governed,1496
nation,1467
state,1277
obama,936
losing,620
rebuild,553
bush,553
give,553
destroy,553
gave,472
twitter,413
vgdy,393
ballot,391
retweet,383
posted,352
lose,352
vmt,299
america,238
vote,205
pic,200
wins,189
points,181
#election,180
#obama,171
#romneyryan,162
#uspresidentialelection,105
#washington,105
#today,105
#mittromney,105
goo,98
stirringtrouble,98
nov,98
vxikz,98
#voteobama,95
#romney,90
friends,87
barackobama,84
#ivoted,84
#teamobama,84
#vote,72
today,69
#equality,66
#forward,66
tthokcyn,65
rights,57
married,57
deserve,57
breaking,55
suspect,55
tampering,55
#tcot,53
gl,53
love,51
president,51
bring,51
brain,51
voted,49
woman,49
instagr,49
election,45
mitt,44
fuck,43
wing,43
identified,43
activist,43
hope,42
day,42
politics,38
world,36
line,36
dear,35
favorite,35
heart,33
made,31
#nonegativityzone,31
make,29
like,29
freedom,28
mittromney,28
utm,28
babies,28
voting,27
grckh,24
country,24
rsehjujsim,24
reelected,24
#loveofcountry,22
#govote,22
#sherrodbrown,22
#obamavsromney,22
new,22
#ohsen,22
#retweet,22
monday,21
perfectly,21
disagree,21
wyydda,21
white,18
blueoregon,18
respectfully,18
republican,18
barack,18
insult,18
tuesday,18
set,16
jobs,16
sweet,16
making,16
bikes,16
million,16
mend,16
avaaz,16
real,16
hour,16
donate,16
cash,16
bruised,16
history,16
bu,15
sincerely,15
choice,15
ref,15
brown,15
katyperry,15
back,15
moreyears,15
voters,15
dumbass,15
defeat,15
find,15
media,15
social,15
horse,15
black,15
sherrod,15
paths,15
house,15
interactive,15
climb,15
older,15
market,15
win,15
luke,13
states,13
niggas,13
ofa,13
