text,size
vote,105
president,79
#romneyryan,59
black,37
obama,37
voting,37
big,37
ballots,37
troops,37
friend,37
pentagon,37
thousands,37
peace,37
overseas,37
arms,37
deployed,37
breitbart,37
fails,37
ballot,37
disenfranchised,37
#obama,35
#tcot,33
make,29
mittromney,27
man,26
people,26
fish,26
suffering,26
basketball,26
plays,26
sandy,26
day,25
#election,23
#fail,23
happy,22
cold,22
brothers,22
today,22
#teambarackobama,21
#teampresidentobama,21
america,18
huge,18
family,18
friends,14
#romney,13
election,13
walking,12
wall,12
military,12
american,11
years,11
number,11
republican,11
increase,11
governors,9
#yourvote,8
#prettymoney,8
#israel,8
#yogisforobama,8
#aids,8
#hiv,8
#rva,8
#vote,8
#voteobama,8
#cbs,8
romney,6
brandonlacycamp,5
janna,5
hope,5
bit,5
issues,5
twitter,5
state,5
rmdy,5
yogis,5
deff,5
barackobama,5
cut,5
barack,5
makes,5
photo,5
great,5
blue,5
paul,5
complete,5
kwigvsva,5
ryan,5
blessings,5
pic,5
blog,5
responders,5
red,5
reppin,5
white,5
delaware,5
pix,5
wow,5
eric,5
matin,5
entry,5
casts,5
hurts,5
campaign,5
bon,5
joe,5
back,5
disaster,5
wuffny,5
relief,5
moreyears,5
ann,5
victory,5
tweet,5
politicususa,5
matters,5
offsets,5
determining,5
cantor,5
#,4
ad,4
mitt,4
unimpeachable,4
ly,4
like,4
vp,4
dti,4
pm,4
