text,size
vote,662
state,236
difference,206
today,206
election,206
crucial,168
make,116
back,55
place,55
nov,48
victory,48
critical,42
bring,41
america,35
wisconsin,26
minnesota,24
colorado,22
polling,18
find,18
securing,18
tt,16
mi,16
#election,16
#obama,16
#romney,16
zdfc,16
#romneyryan,14
iowa,14
zhf,14
barackobama,12
default,12
share,12
utm,12
tw,11
florida,11
retweet,10
yec,10
pennsylvania,10
ssn,10
wins,8
obama,8
za,8
#fuckobama,8
new,6
hampshire,6
romney,6
bad,5
republicans,5
voted,5
spectacularly,5
problem,5
moving,5
work,5
shouldn,5
analysis,5
mitt,5
schools,5
unemployment,5
favorite,5
talking,5
elect,5
weak,5
predicting,5
yzb,5
democrats,5
cretin,5
team,5
lead,5
swing,5
future,5
choice,5
country,5
political,5
source,5
things,5
ada,5
solely,5
andy,5
sailors,5
safe,5
campaign,5
virginia,5
reid,5
unfollow,5
michelle,5
part,5
medium,5
carolfaulkner,5
supporting,5
relief,5
chance,5
sandy,5
lady,5
willed,5
hr,4
crime,4
trickles,4
ohio,4
ly,4
nh,4
geeking,4
ow,4
