text,size
vote,418
twitter,138
ofa,115
pic,115
obama,114
barackobama,107
#obama,103
election,96
day,94
romney,86
#election,80
#romneyryan,76
voting,70
voted,70
#vote,69
#tcot,67
president,65
mittromney,64
today,57
black,55
friend,49
#forward,42
happy,39
#romney,38
bo,36
#voteobama,33
#fail,33
reason,31
dqdadvdb,30
lady,30
married,30
character,30
pjcha,30
make,29
#teambarackobama,28
#blacks,28
#teampresidentobama,28
years,25
future,25
instagr,25
america,23
people,22
lines,22
friends,22
stay,22
line,22
white,21
win,21
work,21
elect,18
otsmqi,18
#p,17
#gop,17
prediction,17
kids,17
#str,17
#obamabiden,17
discourage,17
peace,17
abv,17
fails,17
ballot,17
big,17
brothers,17
thousands,17
man,17
arms,17
breitbart,17
pentagon,17
military,17
rlfrh,17
disenfranchised,17
ballots,17
troops,17
overseas,17
deployed,17
reppaulryan,14
plays,14
ps,14
fish,14
suffering,14
cold,14
sandy,14
choice,14
basketball,14
like,14
final,13
exciting,12
good,12
family,12
slightly,12
accents,12
jb,12
ly,12
hear,12
declared,12
interested,12
huge,12
war,12
iran,12
wins,11
isn,11
hope,11
mitt,11
#lebanon,10
#nobama,10
proved,10
#ctgirldeepthoughts,10
#teamromney,10
#hollande,10
#tajaddod,10
#bradygronkowski,10
#syria,10
#cinc,10
#billymadison,10
#obamaforamerica,10
#youth,10
#prettymoney,10
#yogisforobama,10
#americastrong,10
#votemitt,10
senate,10
#sikhvote,10
#mmcvotes,10
#sikh,10
taxes,10
#ctgirlproblems,10
#sarkozy,10
#votesmart,10
#mavote,10
#rommeyryan,10
#obamaphone,10
#christian,10
#catholic,10
#ibdblogs,10
#romenyryan,10
hands,9
bad,9
promoting,9
economy,9
rebuild,9
da,9
talk,9
shade,9
live,9
governors,9
rich,9
cheer,9
american,9
bit,9
