text,size
barackobama,95
represent,91
america,82
office,78
today,78
party,75
unemployment,62
higher,62
show,55
liberals,48
defeat,48
destructive,48
forget,48
senate,48
week,48
house,48
running,48
#obama,36
nation,35
won,35
obama,34
#tcot,32
#tlot,31
#cantafford,24
wrong,20
ted,17
twitter,17
shepworth,17
mitt,17
meandmorningjoe,17
amhenneberg,17
carolinewren,17
rbpvs,17
pic,17
rate,17
biden,17
jrubinblogger,17
samyoungman,17
#ncpoli,13
#mapoli,13
#election,13
#gop,13
choice,12
lima,12
pour,12
newton,11
voted,10
bit,10
fully,10
economy,10
angry,10
wgtavz,10
loud,10
reminder,10
ppl,10
americans,10
day,10
admitted,10
proud,10
virtual,10
sad,10
repeat,10
vote,10
pjjpy,10
standstill,10
ofa,8
jobless,8
wow,8
times,8
president,8
youtu,8
ls,8
ne,8
#forward,8
#tigerwoods,8
#firedup,8
#romney,8
#teaparty,8
years,6
sunday,6
bo,6
ways,6
kj,6
supporter,6
ly,6
vp,6
reason,5
pres,5
crowd,5
chefscottysfood,5
texasflutegal,5
quizque,5
denver,5
premi,5
piensa,5
ole,5
personal,5
truman,5
citoyen,5
phil,5
million,5
hang,5
hablaron,5
retour,5
peeps,5
moment,5
los,5
share,5
closingargument,5
ction,5
colombia,5
pzvbvl,5
maravillas,5
jobs,5
mittromney,5
guardaespaldas,5
beliefs,5
future,5
story,5
voting,5
eavesdropann,5
blondygirl,5
huge,5
iggcun,5
usalivestrong,5
imagine,5
rozash,5
cwwgpnt,5
created,5
venir,5
abbyscoob,5
support,5
maruja,5
ricain,5
tant,5
part,5
stacyjon,5
anaherradon,5
potus,5
endorse,5
tuesday,5
ljmljm,5
fyi,5
visit,5
wild,5
brendy,5
sitting,5
golfista,5
pr,4
put,4
